label,New,org_or_new
negative,"Du synes nok ikke, at store danske medier ville have dækket en episode, hvor en enkemand kaster koranen ud i havet, som han har gjort tidligere.",0
neutral,"1) Begrænsninger fra Digital Rights Manager-indstillinger gør, at du ikke kan optage skærmoptagelser eller tage skærmbilleder. Nogle rettighedshavere kræver dette for at vi kan vise deres indhold.
2) Et funktion, vi arbejder på at udgive i løbet af ‘19. På iOS har vi dog allerede en MVP med lydspor fra NEWS",0
neutral,"⚽️ I dag finder du yderligere 4 #fodbold kampe/arrangementer, der vises direkte:

📺 4 på TV

#dksport #dkbold #sldk #pldk #laliga #seriea
    ",0
positive,"3 sekunder til at forsøge at klatre i fosterstiling og håbe på, at de ældre vil løse problemet... og 1 sekund til at rejse indsigelser #GrøntValg",0
neutral," På de buske dagene vil vi også have løst havneloven-problemet - det er noget, vi har været nødt til at handle mod #dkpol",0
neutral,"Øjeblikkelig, så længe barnet ikke lider af kolik eller bevæger sig gennem papirerne på bordet, skal det være i stand til at klare sig. Når hun var stor nok til at drive bil, var hun også stor nok til at blive hjemme de par timer.
Og udenforige uden børn som fx har ikke rigtig anden løsning.",0
neutral," Når andre mennesker demonstrerer og politiet ved, at der kan opstå uroligheder, benytter de ofte strategien om at tillade demonstrationen på et sted, hvor ingen opdager det. Jeg ønsker, at de også ville anvende denne løsning for Rasmus Paludan og hans demonstrationer.",0
positive,"Åbenbarlig har Thise Mejeri vundet prisen som det mest bæredygtige varemærke inden for føde- og drikkevarer, ifølge danske konsumere. #dkfood #bæredygtighed #mejeridk #thisemejeri",0
neutral," FCM uden forsvarsprofiler - SE skifter tre: Danmark vil ændre sin stilling til forsvarsprofildanskerne, mens Sverige går videre med en tredje skiftet. ",0
negative,"Om kildekritik: Det vigtigste er den første time og de første ""sensationelle"" historier. Disse baseres på partsindlæg, men når straks ud til over en million mennesker. Alle yderligere detaljer, der kommer senere med højere kvalitet, kan ikke ændre det første indtryk.",0
positive,"Jo, jeg forstår dit punkt. I stedet for at fokusere på hvorfor det sker nu, burde vi hylde de, der tager handling mod homofobi og fejre dem for deres modstand og evne til at få folk til at se på problemet",0
positive,"Det er sandsynligt, at der findes mange fodboldfans i hele Danmark, som tager sig af denne beskrivelse. Måske selv nogle, der er mere kritiske... Kudos til VF for at lave en øgning - vil det ikke være forårens tema? Og DBU vil sandsynligvis svare med et par trusler og sådan noget... #Sldk",0
positive,Økonomiske begrænsninger kan give anledning til yderligere bøder for homofobe udtalelser - måske skal penge til spillerlønninger og bøder betales ud af samme kasse.,0
positive," Da rønefløjterne er delt, er det en virkning at se et samlet blåt Danmark, som vi ser her repræsenteret ved og #dkpol. Det er vigtigt at opretholde denne sammenhold ",0
positive,"
    Ser dit interesse for op, og her er en liste med løbetøj til kvinder, der er værd at tage sig an: [LINK]

Håbentlig vil du også få et par #osudenthighgap!",0
positive,"Det er virkelig godt at høre, @USER. Ingen psykiatrisk diagnose er uundgåelig en forbannelsen i livet! #dkpol #dkpsyk #psykiatri",0
positive," Det var naturligtvis fejl fra mit side og ikke det, jeg forventede. Men tak for din glæde, Edgar Wright, der i dag fylder 45 år! Din evne til at skabe kvalitetsfilm og serier er stadig meget beundret i Danmark. Hvis du har brug for noje på dagen, følgeskab eller noget andet, lad os være det!",0
neutral," Jürgen Klopp har altid undervist os i, at problemet ikke er med at miste en konfrontation, men med at ikke dække den frem. Det er grunden til Matip og Van Dijk spiller sammen i forsvaret.

    [LINK]",0
negative," Hvis det er sandt, at der er fejl, hvorfor fremhæver OIE særlig vægt på rensning af transportmidler, især i forbindelse med svinepest? Dette ville jo ikke have betydning.
    ",0
positive,"Økonomi- og Byggeskatterådet (DBU) kan ikke svare på hvad der sker, fordi det eneste rigtige svar er at de må blive fyret. Hvis de bare gør tingene i den rette rækkefølge, er det fair. Jeg tror dog, at det vil ske. Det MUST ske. Alt andet vil være for udsigteligt.",0
negative," Vi skal derfor diskutere, hvordan kabinen nr. 3 stadig er besat #xfactordk #xfactortv2",0
neutral,"Noen mener imidlertid, at det er falskt. Fotos er skårne noget sted på hvilken mand den egentlige tifølger er med og profilen er nogen dage gammel",0
positive,"Ønsker vi at leve i en samfund hvor alle har frihed til at udtrykke deres egen mening, skal vi være klar på, at dette vil føre til debat og modsætninger. Men er det ikke så, at vi lærer noget fra hinandens forskellige perspektiver i kampen for forståelse og solidaritet? I denne mening er det demokratiet!",0
neutral," Men forsøg jeg gerne at finde den perfekte løsning. Vi mener, at vores elever skal have muligheden for at tænke over og ikke blot beskrive deres arbejde. Dette vil fremme deres evner til at reflektere og forbedre deres færdigheder i fremtiden. Jeg vil søge efter nye metoder, som kan hjælpe dem med at opnå deres mål.",0
neutral," Nye ejere af Bornholmerfærgen står over for store udfordringer, som inkluderer utilfredse kunder og forsinkelser. De er nødt til at betale en stor bøde på 1.5 millioner kr. til skadesforsikringen som følge af de forrige virksomheds håndtering af disse problemstillinge. Det vil sandsynligvis være vanskeligt at genopbygge truslen og bevise at de kan håndtere disse typer problemer i fremtiden.",0
positive,"En ny bog om antiteknologi fylder os med angst over de ting, der søves som vigtige - læs Christianes præcise anmeldelse",0
neutral,"1970'ernes feministiske budskaber nåede ikke kun Jane Aamund, men også andre kvinder, som begejrede sig for samme idé om fuldt ligestilling [LINK]
 #endlösnung #dkpol #svpol 
 #nopol #CreativeEu #Norden",0
positive,"Året opdeles ofte i to transferperioder for klubberne i den svenske fotballiga. Dette betyder, at spillerne nu har en kort lukket vindue til at skifte hold, som varer indtil om efteråret, mens en yderligere mulighed finder sted i januar og februar.",0
positive,"Som medlem af EU har Bendt været i stand til at repræsentere danske synspunkter i den ledende gruppe i parlamentet. For at følge med i EU-sagerne og give din egen opfattelse, skal du være opdateret, kompetent og relevants ved tagene - onsdag gode ønsker",0
neutral,"Den planlagte åbningsdato for den nye Jem &amp; Fix-udgave er allerede fastlagt.
    ",0
negative,"
    Uafhængigt af resultatet af kampen mellem og , vil du fortsat blive kåret som vinder i en tæt nedkæmpelse. Dette får mig til at bryde ud i grinet!",0
neutral," Han er ingen nyskaber på straffesparksområdet, og forudsigelsen omfatter oftest, at hans præstationer vil blive kritiske i fremtiden.",0
positive," Biologiforbundet har et særligt tilbud for dig! Dette er din sidste chance for at deltage i konkurrencen om et års gratis medlemskab. Konkurrencen finder sted kl. 14:15, så håndter det hurtigt!

    Vær opmærksom på stand 1124 for at deltage i konkurrencen. Se, du kan vinde et uhyre interessant tilbud og blive en del af den fremtrædende biologiske verden!

    #bbdk19",0
negative," Fejlhåndtering af fotos. Håret er ikke fjernet korrekt, så der er uhyggelige hvide flader langs hele billedets rand. Dertil har I ikke valgt et billede hvor modellen ser bitter ud, så hele forsøget på at lave en vampyr-lik",0
neutral, Flertallet har afgjort at frikende Finanstilsynet for lovbrud. ,0
neutral,"Ændring af udtryk: Hvad betyder udtrykket ""sølvvej""? Hvad betyder det at gennemføre en ""sølvvej"" og foregår denne process i Tiberian Sun eller er det blot en sædvanende skildring? Lad os læse mere om denne ... #TiberianSun #Sprog #Udtryk #Computerspil #Processer",0
positive," Blitek ' s socialøkonomiske virksomhed har fået et logo. Vi hjælper med at finde arbejde for borgere, der ikke matcher ind på det ordinære arbejdsmarked. I dag har vi ansat 6 flexarbejdere, og de har alle vist sig at være meget nyttige. #socialøkonomi #samskabelse #allekannoget",0
negative," Nej, det er en betingelse for demokrati at vi accepterer lovgivningen og sige sandheden i offentlighederne. At fratage nogen som Rasmus Paludan deres ytringsfrihed er et alvorligt demokratisk problem. #dkpol",0
neutral,"18-årig mand er blevet varetægtsfængslet efter mistænkt for en række indbrud, herunder i Søborg-området. #anklager",0
positive, store tak til for at være imod den nedværdigende tone mod Danmark. #dkpol,0
neutral,"Øjeblikket, regeringen truer med at fyre ueffektive leder i den offentlige sektor. #dkpol",0
negative," @USER, så du foreslår at de statslige udarbejdere ikke har brug for deres computere, mens data selv tager over? Ingen minister vil have tid til det. De er nødt til at bruge deres embedsapparat for at fungere effektivt!
#dkpol #respekt #embedsmisbrug",0
negative,"Ønsker du sige, at der er en behov for transportmidler til dem, der arbejder og skal rejse, selv om vi ikke alle kan leve af at dyrke grøntsager i vores have",0
negative," Jeg har udtalt det umiddelbart, at jeg aldrig vil gå i stiletter. Men det er stadig tåbeligt, at der bliver skrevet så meget om kvinders tøj og accessories i medierne. Vi bor i 2019, så hvorfor fortsætter diskussionen om kvinders fødte udseende?",0
positive," Hvis jeg følger din ønskede måls atterføje denne graal fra @USER, vil jeg sikre, at den bliver sat i ramme og sættes op i min lejlighed. Dertil er @USER kendt for at bidrage med kraftige rubrikker.",0
positive," Jeg forstår, at du føler, at det var en skæv situation og at du blot gjorde grin af hinanden. Det er jo også en god grund til at have en kæmpe smil - ""for the lolz"".",0
positive,"Æren for at have oplevet denne følelse går til min ven, der nu bor i Israel. Jeg husker, at jeg også mærkede den første gang, selv om jeg ikke vidste hvad det var. Den sidste gang vi så hinanden i Frankrig, kunne jeg endelig takke ham for at have lært mig værdien af denne følelse.",0
neutral,"Østergade, nær Ønskebørn, er en gavnlig placering for vore børn. ",0
neutral,"Øverste leder (med ryg marvad) af regionrådet møder op ved diskussionsmøde på Hospital på Amager for at høre tilbageholdere om #sundhedsplatformen og fremtiden for det ""lille"" sygehus som ligger på Amager. #sundpol",0
positive," Det vil være en spændende konkurrence! (Kan man også kalde det ""berømte sidste udtalelse"" om eget udsagn?)",0
negative,"Ændringerne i Indien er markante, og når unge indere fik adgang",0
negative,"Å benytte tålmodighed i forbindelse med speakers, der ikke dækker hele skærmen når de er foldet sammen, ville være anstrengende. Det ville være yderligere forbedring, hvis designet af en folded samling repræsenterede et heltstøbt produkt",0
neutral,"Økonomi- og erhvervsministeriet kan betale opmærksomhed om et simpelt brugersprog for byrdeudspil. A-kassen ASE foreslår flere konkrete forslag til enklere regler, og ministeren bør nedsætte en kommission for at sikre dem. 
[#dkpol #dkbiz LINK]
    ",0
neutral," Mit synspunkt er, at EU ikke er en selvstændig tredjepart. Det er et samarbejdsnetværk, som Danmark har valgt at blive en del af.",0
neutral,"7. Finanstilsynets styrende råd har saknat et 7. medlem i omkring et år. Nu vil rådet udvides fra det nuværende tal på otte medlemmer til ni #dkpol #dkfinans
[LINK]",0
positive," Det er vigtigt at huske, at denne dato mindes frithedens kamp, trods mange forskellige politiske diskussioner og meningsforskelle. (Jeg har også stemt rødt) Tak for din indsats, Lars 🇩🇰",0
negative,"	De har faktisk kun 15 dage fra valget, hvorefter dødsfristen træder i kraft. Dette betyder, at man skal have afgivet stemmen indenfor en så kort periode, at det vil være vanskeligt at få gennemført alle nødvendige foranstaltninger. Det er en meget kort periode og det vil sikkert føre til en høj grad af uro blandt befolkningen.",0
positive,"Øh, så det betyder, at når man dømmer ud fra et billede i modemæssigt perspektiv, hvilket får dig til at afgøre, at du er omkring 55 år gammel i dag. Du holder deg sgu godt!😝🤪",0
neutral,Østrig begynder fase 1/2a-prøve med HPV-vaccin,0
neutral,Alanyacompetitionen førendehold Fenerbahce fortsatte med at have svært ved at skaffe sejre,0
positive,"10 år forud for en bæredygtig fremtid - et hvilepunkt øjeblikkeligt med bidrag til sustainabilitet 🌳

Deltag i KPH's bæredygtige fødselsdag og hør Ida's foredrag: 
[LINK]

#BæredygtigeEntreprenører #10ÅrsIndvirkning #SustainableInnovation #sustainability #SocialInnovation #SDGs #socent #verdensmålene #dkpol",0
negative,"Økonomien bag prishopet er fremragende i Norge, hvor mange people nu røger færre. Denne metode bringer resultater, der er uforståeligt godt. Det er vigtigt at tage højde for denne strategi, selvom staten stadig tjener penge på tobak. Vær også klar over, at handlen over grænser er en stor udfordring både i Norge og Danmark.",0
negative,"Ærværk med at kalde hudfarve for unormalt er umiddelbart racistisk. At sige, at rødt hår er unormalt, ville være at betegne rødhårede som unormale. Vi undlader også at beskrive hårfarve som ""lyst"", fordi det vil være klart diskriminerende. Begreber som ""sjældent"" eller ""ekotisk"" ville nok være mere passende og respektfulde udtryk.",0
negative," Vi er bekymrede over nedskæringerne i disse ydelser, fordi de kan føre til negativ indvirkning på flygtningefamiliers integrationsmuligheder i Danmark. Det gælder især, da vi arbejder på at nå #SDGs i forskellige sammenhænge.",0
neutral," En million kroner vil blive brugt til at finansiere en panda-symfoni ved anlæggets indvielse, og initiativet forsøger at opretholde den kontext, selv om de ugentlige gentagelser undgås. ",0
negative,"Øjeblikkeligt efter spillet, hvem tænkte det var en god idé at sige ""Hej Ajax, du skal spille mod en klub, der har vundet ligaen i de sidste ti år og nylig har købt et par spillere som benyttes til at give holdet 36 millioner kr. i yearly lønudgifter.""? Det er jo noget, man ellers ikke gør.",0
neutral," Her er et billede af det nyeste Risbjerg-snit, som muligvis vil være det sidste før valget annonceres. #dkpol",0
negative," Det er sandsynligt, at der er andre faktorer i spil, der bidrager til at folk bliver blokeret. Et rovdyr som du er ikke skal opfører sig acceptabelt, men det kan stadig være svært at skifte et livslange patronage eller ved tagelse.",0
neutral,Ændringen af din stilling som administrator for 374 panamasiske virksomheder vil indtræffe snart. Det vil tage informationerne for at gennemføre denne ændring.,0
positive," Tak for at du har spurgt. Her er nogle andre anbefalinger for godt børnespil til telefon og tablet, der kan være interessante for @USER og @USER:

1. ""Bob the Builder"" - et klassisk byggeleg spil, hvor barnet kan bygge ting med Bob og hans hold.
2. ""CBeebies Playtime"" - et samling af udfordringer og legetøj, der er designet til at holde små børn optagne.
3. ""Peppa Pig's Playtime"" - en del af det kendte tv-program med Peppa Pig og hendes venner. 
     Leder dere, eller vil de mere forklaret?",0
positive," Dette er en samling af gratis apps, der kan hjælpe dig med opgaver som kontorarbejde, billedredigering og musikproduktion direkte fra din browser.",0
neutral,Ønsker du at vide hvor dronningen skal bo og sove under en atomkrig? Besøg vores hemmelige bunker i Danmark.,0
negative," mens vi i Danmark har en universitetstruende, der skaber en ""lødningstab"" for kvinder fra ph.d.-niveau til professorat, som alle danske statistik viser. Har det været værd at have? Har forskningen og samfundet blevet rigere? Skatteyderne mere trivselige? #70pctmandekvote 4/5",0
positive," Det er klart, at spilleren er et fremragende skub i forhold til Barcelonas næste køb, selv om hans alder og den tidlige mangel på en stregspiller er værd at overveje. ",0
negative, En kvinde blev fundet dræbt i Randers og det formodes at en mand stod bag. Poliet har anholdt og sagde sigtet for knivdrab.,0
positive," Jag får dine meninger, Herr Pind. Selvfølgelig ville det være ønskeligt for alle politiske partier at vise en vis integritet vedkommende deres udsagn under en kampagne inden forvalgelseperioden, så vel du føler dig, men vi skal også tage højagtigheden til regeringens beslutninger. 
    ",0
negative,"Ærkehysterekvisitter, jeg vidste jo, at alt bliver skrumpet til stå til tinge på vort overfølelig fornemmelsessystem. Faktisk vil denne centraliserende og autoritære tankegang nu blande sig i ledelsen af skolen? Hvad er der med dem, som ikke kan lade være med at fremstille sandheden som en absurditet?",0
neutral,"Økonomisk vækst og social stabilitet er vigtige for at sikre en suveræn nation. Selv om Hans Lassen har fremmet forskning i integration, er det nødvendigt at begrænse antallet af nye indbyggere for at opnå en langsigtet succes.",0
negative," Liberalistiske kræfter fortsætter deres kamp mod fællesskabet og det sociale sikkerhedsnet, som de har gjort siden Kanslergadeforliget. Derfor er S ude.",0
neutral,Økonomiske støtter og reguleringer skal supplere for at gøre det lettere at udføre fuldskala test og offentlige investeringer i forskning og udvikling. Dermed gør vi viden og teknologi tilgængelig for erhvervslivet,0
negative,"Øvelsesperle @USER! Du viste diktaturagtighed ved at fokusere på tandpleje i stedet for de virkelige problemstillinger.
Det er skuffende, at regeringen har haft ansvar i 17 af de seneste 20 år og nu snakker om bureaukrati og tilskudsodninger. Hvad gør dine ministre for at løse virkelige problemer? #sundpol #dkpol",0
neutral,"Øjeblikket påbegynder vi forhandlingerne om #sundhedsreformen, men ud udfærdiger en mærkesving i fokuspunkterne, heriblandt muligheden for at give kommunerne større indflydelse på sundhedsforvaltningen. Det er vigtigt at justere udspillet for at opnå den ønskede resultat for alle parter. #dkpol
[LINK]",0
positive,"Øjeblikket er spændende for bygningsindustrien, fordi sprittens forvandling går fremad. Se hvilke arkitektfirmaer, der deltager i denne udvikling og hvordan de bidrager til at skabe en mere bærekraftig fremtid.
    ",0
negative,"Ærkeherredømmet Danmark: 
""Aftalen skal være meget mere grøn. Regeringen og Dansk Folkeparti får kritik fra rød blok, der lukker sig fester i håbet om et valg med muligt rødt flertal.""
Citat: Berlingske kun for abonnenter. #dkmedier
",0
negative,"Ændringen er uundgåelig, men hvor mange børn vil det berøre? Hvornår vil samfundet tage problemet alvorligt? Spørgsmålene skal stilles, #dkpol #barnpornografin",0
negative,"Ær du sikker på, at du alene har deltaget i én løb, hvor du har sluttet blandt top 5-placeringerne denne år? Det er lidt overrasketydende... #LBL2019",0
neutral,"Ærkefjender. Tak for spørgsmålet. Men hvad vil det betyde for vælgere, at de stemmer på mig? Hvis jeg kommer ind i Folketinget, vil jeg stemme imod en regering baseret på SK's mandater, selv om den er ledet af @USER. #dkpol",0
positive," Lucas Andersen er på vej mod fremgang i sit liv som spiller. Se, hvad der sker nærmere tider!
    ",0
negative,"Ønsker du at kalde ham konservativ? Forladelseenheden har jo dømt ham for racisme. Det er sikkert da en prøve på at være konservativ!
Hvis dette er kriteriet, er vi helt vis meget fra en åben dialog",0
positive,"Øvelser og aktiviteter baseret på det konstruktivistiske læringsmønster kan være en interessant tilgang til at undervise om innovation i skolen. Big Bang i Odense kan fungere som et godt eksempel på, hvordan man kan fremme kreativitet og innovation i eleverne.
#bbdk19",0
negative," Jeg er helt i samfund med dig! Slet voldsom tørst for dem dånende arbejdsgivere, der blot kan udføre deres skid-arbejde. Disse lille pivskælder DSB har optaget til sit eget ildenf",0
neutral," Hvornår bliver man virkelig træt? Det er et spændende spørgsmål i dagens verden. Her er en artikel, der behandler emnet #dkpol #fv19",0
negative,"Ændring: Jeg stemmer for Morten Østergaard. Jeg var bange over, at kun jeg føler, at S har næsten samme retning som DF. For at skaffe stemmer kan Mette få en aftale med alle... uanset om det er godt eller dårligt for Danmark i fremtiden #dkpol",0
neutral,"400 brandfolk er blevet indsat for at håndtere branden ved Notre Dame i Paris. Det er en voldsom operation, og der er flere brandfolk end normalt på vagt, herunder de 53 brandstationer i hele Sydjylland og tre brandvæsner",0
negative,"Ønsker man venstreorientering, skyldes det ikke skuloden på attytiskker og forsinket optagelsesprøve. Skammen er da dog endnu større, at højrefløjen har flertal, selv om de anvender uddannede politikere som sin bevisbasis.",0
neutral,3F i Kastrup får besøg af en lille arbejdshest under @USER's 1. maj-tale. #dkpol,0
negative,"Ærkeenglen, jeg vil ikke deltage i denne debat. Men der er sande ting at sige. For hvorfor vilkårlige forældre bruger deres egne børn som gidsler? Men det er også uretfærdigt at kritisere den danske stat, når de forsøger at beskytte deres borgere, særligt deres børn. Det er nok fordi jeg er socialliberal",0
negative," Vi skal anerkende, at markedet præsser os voldsomt i øjeblikket, udtaler Sydbanks leder, Karen Frøsig, til Berlingske på en dag, hvor aktien får et nedadgang på omkring 10 procent. #dkbiz #dkfinans",0
positive," Det vil være uhyggeligt underholdende.

Der er sikring på god humør, hovedbob og træarbejdere. Jeg stod også bag baren ved sidste runde på godset, og jeg kan uden tvivl sige, at der er meget talentfulde musikere, der...",0
positive,Øjeblikkelig indfrieelse for olieudvinding i Nordsøen - for vores fremtid og planeter fremtidige generationer. ,0
negative," Det betyder, at man valgte at gå længere og længere væk fra det, der på noget tidspunkt fungerede en gang. Så nu har man besluttet sig for at reducere antallet af indgange til én! Det er ikke godt hospitalitet. Hvis du vil have en god service, skal det være lettere for os der inde",0
positive,Et smukt dansk junior resultat i de tidlige timer -- sejre for både Clara Tauson og Holger Rune. En god dag for dansk tennis! (Kommentarer fra en certificeret tennisnørd og kollega er velkomne.),0
neutral,"
    På torsdag aften holder LiteraturHaus en koncert med lydkollektivet SOUNDS + Andreas Borregaard og Josefine Weber Hansen. Koncerten begynder kl. 19:30, og indgangspris er 70 kr. for almindelige besøgende og 50 kr. for studerende.

Lær mere om begivenheden her.",0
negative," Det er vist forståeligt at bruge dine egne filer til at basere statistikker på, men at ændre enkeltmænds henvisninger til noget som ligner et skjulte skript, synes jeg er overdrevet.",0
positive," Det var sjældent at høre en så positiv melding fra @USER. Mennesker med handicap mistede ved kommunalreformen, der førte til specialisering. De anser fornuftigt specialplanlægning på socialområdet som logisk, for at sikre de specialiserede tilbud. #dkpol #sundpol #dkhandicap",0
positive,"68 nye esportsforeninger er oprettet i DGI, og der er kommet 2.807 nye medlemmer. Det er skønt at se, at flere vil blive en del af fællesskabet! #idrætspol #dkcivil #dkpol

[LINK]
    <|im_start|>user
    Tusind tak for din hjælp 😊

Hvad er dit favorit esport? 🎮
    ",0
neutral,"18:00 TTH-Sønderjyske og Aalborg-Skjern er de første kampe i slutspillet, der vil dyrke din håndboldaften. Efter disse kampe kan du se Estavana Polman i KONTRA-kampen i hendes hjemby Esbjerg. Tune ind på TV 2 SPORT for at følge med i #hndbld",0
positive," Å, taks! Dernæst lige samme eftermiddag i erhvervslivet's verdenskendt top, der har undertegnet en erklæring, der bl.a. fokuserer på framtidens bæredygtige materialer og produkter 🌿♻️. Der køre nok omkring samfundets styrke #dkbiz",0
positive,"30 år med fly hos DAT: Kirsten og Jesper Rungholm startede deres rejse med det første fly i dag, og nu driver de et selskab med 22 fly og mere end 500 ansatte.",0
negative,Æh... jeg kunne ikke finde fejllet - Men det er dog stadigvæk den største børnehave i Danmark #dkpol,0
negative,"Det er ufrivilligt åbenlyst, at der er forskelle i arbejdsmoralen mellem gymnasieelever fra København og Jylland. Men at generalisere på grundlag af en enkelt undersøgelse er ikke nøjagtigt. #dkpol 
    ",0
neutral," Hvis Arsenal vinder, kvalificerer de sig til CL. Hvis Chelsea vinder, går Arsenal til EL. Under forudsætningen om at Arsenal ender som nummer fem i #pldk",0
negative,"Åsynet med at gå ned ad Strøget i dag er, at alle Amnesty-aktivister holder sig væk fra mig, fordi de ikke kan tåle humor. ",0
positive,"Jo, jeg vil gerne enere det! Lokalavisene giver os et udfyldende perspektiv på det lokale samfund og kan være særligt nyttige for nye indbyggere. Det er meget imponerende, at der findes så mange gratis lokalavis i Danmark!",0
positive,"En ting jeg elsker om FCK, er den kontinuerlige forbedringsproces med optimering, hårdt arbejde, resultater, økonomisk vækst og fremadrettethed, der gentages",0
negative,"
    Nej Skaarup, Unitos er en kilde. Indenfor denne regeringsperiode, er der tiltag, som har vanskeliggjort det for denne gruppe. Der er kommet en omfattende undersøgelse af din parti og regeringen, der modarbejder tingene bevidst - fakta. Læs og forstå!
    ",0
negative," Det er en helligdag, og hun vil sandsynligvis fejre den i morgen. Men det er jo ikke første gang, at hun gør dette. ",0
neutral,"Ær du klar over, at jeg har læst denne artikel? Jeg tror, det er en af de mest omfattende og udarbejdede artikler, vi har bragt på lige tid, og den fortælles i mange dele, samt henviser til flere britiske medies fortællinger.",0
negative,Ønskelisterne for en tættere grænse kontrol kan håbe om at Rasmus Paludan. Når man skubber murstenede på venstre vil man drive modstandsbevægelsen væk. Er det Pernille Vermund der viser sig at være den moderne politiker #dkpol,0
neutral,"Åbenligt ved at sige det, men vi skal se på sagen og forsøge at hjælpe, selvom vi kan mangle længere. Du har vist visse grunde til vores konflikt",0
negative," Enten Greens budskab har misfortolket af enkelte danskere eller har de virkelig vanskeligheder med at overholde løfter, når hver femte dansker mener sig træt til arbejde... løftebrud er ikke altid synligt i de fremlagte løfter 😒",0
negative,"Økologi-ministeren er frustreret over modstand. Svarer nu igen med en angreb, men ikke mod kritikken fra forskerne. Hvornår bliver det for sent for et trykket miljømyndighed? #dkpol #dkmedier",0
positive," En ny rapport fra Totalförsvarets forskningsinstitut har påpeget, at det svenske forsvar mod IT-angreb er forældet. Som følge heraf er flere politiske partier nu villige til at indføre et cyberhjemmeværn med frivillige IT-eksperter. SVT Nyheter har rapporteret om dette under Øresund-nyhederne. Læs mere for at få yderligere oplysninger.
    ",0
negative,"Øjeblikkeligt er det vanskeligt at acceptere, at dem vi tror på for at beskytte og holde oss i trygge hender, på sinne helt den modsatte. Vi vil sandsynligvis aldrig tro, at politiet ikke vil beskytte os, da det er et grundlæggende forventning fra en børnelige ånd.",0
positive,"Her kan jeg værme vist anbefale ham for dere. Han er en yng mand som repræsenterer Fyn, der fattiger udtryk for ungdommens problemer og de udfordringer vi står overfor. Dermed får jeg gladskabligst til at anbefale ham til jer på Fyn 💚",0
neutral,"⚽️ I dag finder du 6 fodbold-kamp/event'r, der vises direkte:

📺 1 på TV
💻 3 kun på @USER
💻 2 kun på @USER

#dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk

🔗",0
negative," Er det dig selv, der har dem? For jeg kan se, at de er af polyester. Og hvis du mener den ombroe seg igår e, kan hører dig træde hele vejen ud på Mols, næste gang du hæver flaget. :D ",0
neutral,"Ønsker du hjælp med at sprede budskabet om denne aktion, kan du bidrage ved at dele #IkkeOK #VågnOp #DkPol #BekæmpFattigdomNU og fokusere på at hjælpe de 6.450 fattige børn i Danmark, som behøver støtte og opmærksomhed. Samarbejde kan skabe en bedre fremtid for alle.",0
negative,Er det virkelig nødvendigt for os at tage penge fra skatteydende borgerne og bruge dem på udenrigspolitiske fejlslag? #dkpol,0
positive,Ønsker du at vi sammen holder en stor fest mandag aften?,0
positive," Det mest fristende ved lørdag og søndag er, at man kan have en længere sovetur, hvilket gør, at det får et længere tids mellem, inden man igen må gå til arbejde.",0
neutral," Jag står helt klar med det, men min fokus er primært på at vise Melo, at de har opdaget problemet. Men ja, jeg indvilles også - snakk om Billettos servere.",0
negative," Ja, men jeg mener at jeg tror vælgerne er trætte af den politiske debat og vil have fokus skiftet til konstruktiv løsninger. ",0
negative,"Ønsker vi diskutere, om det er tilladt at bruge fælles anlæg uden at rengøre dem senere?",0
negative,"Ændringer i Danmark spordepartner skifter ikke, men at endnu ikke har haft så godt fat om magten, at de er blevet tilbudt en konkurrencedygtig pris for deres principper. Alle de ""gamle"" partier har forlængst solgt deres sjæl og principper til højestbydende.
    ",0
positive,"2019 er det her, at VILD MED GRILL præsenterer deres nye katalog! Dette 573-sidige værk indeholder alt du behøver vedrørende grill og tilbehør samt en masse opskrifter og inspirationsmuligheder.
[LINK]",0
positive,0-1 OB-FC Nordsjælland! I kampen om det andet mål scorede FC Nordsjælland en trøffel i 55. minut.,0
positive,Åbenhed i privat støtte kan debateres mere finert siden åbenhed for nu har en l ønsker om at være med og bidrage konstruktivt. Vi håber andre partier også vil tage del i debatten inden for denne periode #dkpol.,0
positive,"Ændringen går videre med at tale om psykisk sygdom og tager bladet fra munden. Danmarks største sundhedsudfordring er en vigtig diskussion. Tak for øjeblikket! #sundhedsreform #FV19
    ",0
negative,"Ændringerne i samfundet er kritiske for resultatet. Det er let at se, hvis man tager et blikt på vellykkede efterkommere (de fleste) og observerer forskellen mellem dem. Socialt tryk giver de værste resultater overalt i verden. Logik. Antagelse om genetisk indblanding er kun yderligere tvivlsom.
    ",0
positive, Derfor har Hjulmand sagt farvel til Bolddk. [LINK],0
neutral, FC Fredericia skal sikre en sejr på udebane mod Næstved.,0
positive,"Ærkeengel, jeg er også rart over det mål for United. Det var næsten som om det var det der skulle give dem livsduften! En 1-1-resultat ville ikke være en katastrofe, men håbentalt får de k",0
positive,NIH-direktøren taler om den nye test for ME (ME/CFS): Sundhedspolitiske debatter og forskningsnyheder i Danmark. #sundpol #dkpol #forskning #delgodevidenskab,0
neutral,"Æren til dig, Ronnie. Ingen af os stillerende er medlemmer af Just Sayin'. Kandidater og lokalpolitik er vel også for borgere? #dkpol",0
negative,"Øjeblikkeligt er ingen udtalt sig om dette, og LOL! Er du vist væk fra civilisationen de sidste dage?",0
